IDCLIENTE;NOMEFANTASIA;FLSITUACAO;SGUF;IDSEGMENTACAO;IDMOEDA;
10002;Vega-Colaço;HABILITADO;MT;2319;5758;
10003;D'ávila e Associados;HABILITADO;SP;7183;5758;
10004;Delvalle S.A.;HABILITADO;PR;4478;5758;
10007;Vieira e de Oliveira Ltda.;HABILITADO;MG;5256;5758;
10009;Leon e Cervantes e Filhos;HABILITADO;SP;1107;5758;
10011;da Silva e Rocha;HABILITADO;SC;5256;5758;
10012;Lozano e Rico Ltda.;HABILITADO;SP;4478;5758;
10013;Salgado-Ramires;HABILITADO;SP;5256;5758;
10017;Galindo e Godói;HABILITADO;SP;5919;5758;
10024;Pacheco e Associados;HABILITADO;SP;4478;5758;
10033;Martines Comercial Ltda.;HABILITADO;SP;5256;5758;
10036;Barreto-Salgado;HABILITADO;SP;5919;5758;
10041;Salazar e Filhos;HABILITADO;SP;7736;5758;
10042;Verdara Comercial Ltda.;HABILITADO;SP;1107;5758;
10043;Quintana-Aguiar;HABILITADO;SP;1107;5758;
10045;Bonilha S.A.;HABILITADO;SP;5256;5758;
10054;da Cruz e Marques;HABILITADO;SP;2736;5758;
10055;Garcia e Pena S.A.;HABILITADO;SP;5256;5758;
10057;Marés e Bonilha S.A.;HABILITADO;SP;2736;5758;
10060;Pereira e Rios S.A.;HABILITADO;SP;2319;5758;
10061;Urias-Garcia;HABILITADO;SP;5226;5758;
10075;Vega-Urias;HABILITADO;SP;5256;5758;
10082;Lovato e das Neves;HABILITADO;SP;1107;5758;
10088;Oliveira e Filhos;HABILITADO;SP;1107;5758;
10089;Martines e Padilha e Filhos;HABILITADO;SP;1107;5758;
10090;Furtado-Aranda;HABILITADO;SP;5256;5758;
10097;Maia e Gusmão S.A.;HABILITADO;SC;3809;5758;
10099;Matos S.A.;HABILITADO;SC;5919;5758;
10100;Brito e Godói;HABILITADO;PR;4478;5758;
10104;Ferraz-Toledo;HABILITADO;SP;7230;5758;
10107;Jimenes e Associados;HABILITADO;SP;5256;5758;
10108;Roque S.A.;HABILITADO;SP;3897;5758;
10122;Maldonado e Saraiva;HABILITADO;SP;5256;5758;
10123;Casanova e Rodrigues e Associados;HABILITADO;RJ;1107;5758;
10130;Salas-Barreto;HABILITADO;MA;8007;5758;
10139;Valência Comercial Ltda.;HABILITADO;SP;7230;5758;
10140;Marés e Serna;HABILITADO;SP;7230;5758;
10143;Salas e de Oliveira e Associados;HABILITADO;SP;4474;5758;
10152;Paes-Rios;HABILITADO;SP;5226;5758;
10155;Rivera e Pacheco;HABILITADO;MG;5256;5758;
10158;Flores Comercial Ltda.;HABILITADO;SP;4474;5758;
10160;da Silva e Neves e Filhos;HABILITADO;SP;5256;5758;
10174;Teles-Jimenes;HABILITADO;PE;5256;5758;
10175;Flores e Cruz;HABILITADO;SP;5256;5758;
10177;de Souza e Filhos;HABILITADO;SP;5256;5758;
10182;Vila-Quintana;HABILITADO;SP;9122;5758;
10186;Feliciano-Furtado;HABILITADO;RJ;5256;5758;
