IDCLIENTE;MES;NOTA
11762;2019-10;10
16660;2020-01;1
15337;2019-06;8
10267;2020-05;9
11721;2020-03;8
25725;2019-02;9
26972;2020-10;5
27396;2020-06;10
28050;2020-04;8
27527;2020-11;4
19012;2019-09;8
14731;2021-02;10
29469;2020-11;9
12599;2020-01;8
8944;2019-02;2
7531;2020-10;9
29893;2019-03;8
8628;2020-12;5
15448;2021-01;10
28474;2020-10;10
29462;2019-08;8
13715;2019-09;8
15786;2020-06;8
13436;2020-01;8
6003;2019-04;4
8555;2019-06;8
14676;2020-07;9
28454;2019-09;9
17875;2019-04;9
11126;2020-10;10
31350;2019-12;9
11188;2019-09;9
11836;2019-12;10
21241;2021-03;8
10852;2021-06;9
31335;2021-02;9
16174;2020-02;3
7865;2019-11;9
21583;2019-07;8
15342;2019-05;9
10976;2019-06;9
31388;2020-12;9
32183;2020-01;10
28337;2019-11;9
30286;2020-05;9
7818;2019-12;10
11972;2019-03;9
10267;2019-10;9
18811;2020-02;9
27035;2020-10;9
30433;2021-02;10
11835;2021-06;9
5666;2019-12;10
10378;2021-05;8
26684;2020-06;8
20648;2020-10;10
32015;2021-03;9
14523;2019-05;7
21707;2019-12;10
13606;2021-02;9
11746;2019-10;9
12663;2019-10;8
24030;2020-09;7
27391;2020-03;8
7673;2019-12;10
14685;2020-11;10
12938;2019-05;9
21077;2020-12;10
21209;2020-11;9
28838;2020-02;5
12486;2021-04;8
13894;2019-09;10
29120;2020-06;10
11175;2020-09;10
20964;2019-05;8
14257;2019-11;8
8734;2021-06;8
14385;2020-08;10
10122;2020-02;9
5918;2019-03;8
17755;2019-09;8
13580;2020-04;10
19250;2020-09;8
30441;2019-08;9
8668;2019-06;6
7565;2021-01;8
8609;2020-08;9
18646;2019-12;10
14639;2019-05;10
27553;2019-12;8
7859;2019-01;5
10976;2019-10;10
27011;2021-05;10
12326;2019-08;9
6194;2019-04;10
5623;2020-08;10
11025;2019-02;9
15141;2019-12;9
13104;2021-05;10
14032;2021-01;10
12654;2019-12;9
28474;2020-01;1
24956;2019-11;8
27008;2020-06;8
14182;2019-04;10
20961;2019-10;10
14051;2019-05;8
14168;2019-11;9
30472;2020-06;9
11879;2020-09;8
19633;2020-05;10
6900;2021-06;10
7646;2020-10;8
14112;2019-04;10
28590;2020-01;8
30822;2019-07;9
11167;2019-08;9
14179;2021-01;10
13710;2019-04;9
29600;2020-07;8
11134;2020-07;6
13709;2021-04;9
27394;2020-10;9
8534;2019-07;8
13436;2019-02;9
19089;2020-07;9
15933;2019-01;10
19331;2020-06;9
15245;2020-08;8
7899;2020-09;10
7917;2019-07;10
11428;2019-07;8
30557;2020-11;8
13020;2019-02;8
15919;2019-09;7
8717;2020-03;9
14829;2019-11;10
8546;2019-03;9
6900;2020-02;8
8847;2021-06;6
5572;2020-06;8
28539;2019-12;9
12754;2021-06;10
25343;2020-07;9
16676;2020-04;8
10295;2020-05;1
27008;2019-12;8
10730;2019-02;3
11747;2019-07;9
5931;2019-05;9
27651;2019-05;10
11124;2020-07;10
14329;2020-06;9
21198;2020-09;10
26904;2019-12;10
11213;2021-03;9
8389;2019-03;10
32407;2019-11;9
12985;2019-02;8
14936;2020-10;9
8546;2021-02;9
30091;2020-04;8
32231;2019-12;10
27117;2020-06;10
7771;2020-02;10
29251;2021-01;8
6285;2021-04;10
6578;2019-10;9
21108;2021-03;9
25048;2020-12;10
14449;2021-05;9
7964;2021-06;10
27464;2021-03;10
11282;2019-05;10
8066;2019-09;9
19649;2021-04;8
8986;2019-03;10
11188;2021-04;8
11561;2020-12;9
12491;2020-01;8
15448;2020-01;10
8105;2019-06;9
7376;2020-02;9
24440;2019-01;10
12695;2020-08;9
27188;2019-05;6
15234;2019-09;8
10248;2019-09;10
8565;2019-08;9
1584;2019-06;8
18814;2021-01;10
10943;2020-05;9
29125;2020-12;8
13766;2020-08;10
26207;2021-03;9
12946;2020-07;9
28836;2020-10;10
31025;2020-06;10
31058;2020-07;9
25439;2019-11;10
14482;2019-11;9
27736;2020-12;9
16236;2019-10;2
25048;2019-10;8
10335;2019-05;10
27042;2019-07;8
14868;2020-09;8
7845;2019-10;9
13238;2019-04;8
25241;2021-04;10
31394;2019-11;8
7865;2019-07;9
8565;2019-10;9
13710;2019-08;9
29478;2020-06;10
11721;2019-10;8
10310;2020-06;10
11398;2020-01;8
27217;2021-05;8
12353;2020-11;9
14028;2020-03;10
13671;2020-05;8
11591;2020-09;8
11721;2019-11;10
28988;2020-08;5
11489;2019-07;8
32374;2020-12;9
8681;2021-03;10
16563;2020-04;10
28254;2020-10;8
8773;2019-02;10
28218;2019-05;10
26454;2021-02;6
13802;2020-02;10
6044;2020-11;9
27736;2021-06;8
11163;2020-11;10
24506;2020-02;9
21769;2021-04;8
29913;2020-10;8
6724;2020-10;10
14799;2020-07;10
24963;2020-11;8
14986;2020-05;3
13831;2020-06;8
11175;2019-09;10
14740;2021-04;10
27097;2019-08;8
30496;2021-06;10
12599;2021-06;9
25761;2019-11;9
25409;2021-02;9
27568;2021-02;8
13479;2021-03;10
16332;2019-08;8
12718;2020-08;10
25759;2019-06;9
10446;2020-06;9
5652;2019-03;10
13375;2019-01;7
8840;2021-03;9
13676;2020-07;7
26796;2020-02;10
25932;2019-12;9
7922;2020-02;10
5862;2019-06;9
7763;2021-01;9
29972;2019-10;9
31045;2019-12;9
12985;2019-06;8
7648;2020-12;8
8555;2020-02;10
5666;2019-02;10
25785;2019-05;10
27847;2021-04;9
28091;2020-08;8
30591;2021-03;3
10160;2019-08;10
12228;2021-03;2
14251;2020-09;9
8627;2020-09;8
11228;2020-05;10
13632;2019-04;7
14525;2019-02;9
28912;2019-08;9
15747;2020-08;8
14245;2020-07;10
15391;2019-09;10
7833;2020-06;8
10248;2019-02;8
13897;2019-01;6
13859;2021-04;8
27490;2019-06;3
18176;2019-05;8
8642;2019-06;8
8378;2020-11;9
19091;2019-07;8
26904;2020-09;10
24365;2021-05;9
11463;2021-02;9
10907;2019-05;10
30311;2020-06;8
25966;2020-05;10
29872;2020-06;10
7878;2020-03;9
32187;2021-01;9
13375;2021-01;10
13020;2020-12;8
29843;2020-06;10
16815;2020-08;10
29357;2019-12;8
10252;2019-06;4
15473;2020-11;10
30224;2020-07;10
29686;2020-03;9
11271;2020-08;1
10951;2019-02;9
29442;2021-05;10
7859;2020-11;2
6530;2021-06;10
14535;2020-07;8
11322;2019-06;9
8690;2019-10;9
19154;2020-10;10
11175;2019-03;2
23991;2021-05;9
28133;2021-04;10
27439;2019-11;9
24543;2020-09;9
5675;2020-03;1
28152;2019-10;9
15046;2019-05;10
24532;2021-05;9
14547;2020-08;8
17755;2019-06;1
16646;2019-12;9
28218;2019-04;8
8564;2019-05;8
29961;2021-05;9
8338;2019-10;1
8404;2021-06;9
25432;2019-08;3
10550;2019-09;8
31336;2019-09;8
11687;2019-06;9
14639;2020-10;10
13392;2021-01;1
12868;2019-09;8
13859;2020-09;9
30972;2019-12;10
