IDCLIENTE;MES;VLVENDA;QTVENDA;QTPARCELAS;QTESTABEL
10002;2019-01;14384,02685;466;481;1
10002;2019-02;38730,23717;1056;1116;1
10002;2019-03;47372,42608;1265;1340;1
10002;2019-04;53465,45523;1414;1499;1
10002;2019-05;54486,46648;1489;1593;1
10002;2019-06;53215,19448;1458;1544;1
10002;2019-07;59136,36753;1539;1658;1
10002;2019-08;57707,51169;1530;1637;1
10002;2019-09;55815,75535;1464;1569;1
10002;2019-10;57987,52716;1496;1601;1
10002;2019-11;62464,07147;1593;1718;1
10002;2019-12;59414,05942;1634;1732;1
10002;2020-01;50948,35763;1350;1443;1
10002;2020-02;49531,37786;1429;1514;1
10002;2020-03;71178,1219;1886;2032;1
10002;2020-04;68177,92158;1909;2038;1
10002;2020-05;67721,53194;1857;1950;1
10002;2020-06;64098,49951;1703;1810;1
10002;2020-07;67254,91211;1727;1848;1
10002;2020-08;73710,87945;1885;1977;1
10002;2020-09;63300,68899;1732;1802;1
10002;2020-10;62500,8534;1788;1853;1
10002;2020-11;60300,529;1703;1758;1
10002;2020-12;69177,18962;1910;1989;1
10002;2021-01;55779,27194;1518;1596;1
10002;2021-02;51084,00462;1441;1493;1
10002;2021-03;59546,80194;1596;1677;1
10002;2021-04;56147,34944;1599;1674;1
10002;2021-05;61571,41375;1713;1801;1
10002;2021-06;16728,9295;455;471;1
10003;2019-01;463150,948;609;1608;1
10003;2019-02;402443,9758;612;1422;1
10003;2019-03;379959,5436;548;1365;1
10003;2019-04;423833,0804;526;1440;1
10003;2019-05;330945,0284;510;1114;1
10003;2019-06;316162,7322;463;1110;1
10003;2019-07;383951,6437;544;1299;1
10003;2019-08;507073,4592;581;1771;1
10003;2019-09;456049,3384;529;1521;1
10003;2019-10;432090,2146;573;1441;1
10003;2019-11;313382,5718;471;1060;1
10003;2019-12;282980,0329;445;980;1
10003;2020-01;423117,6091;546;1430;1
10003;2020-02;385264,9112;488;1342;1
10003;2020-03;276323,0306;324;910;1
10003;2020-04;0;0;0;0
10003;2020-05;0;0;0;0
10003;2020-06;0;0;0;0
10003;2020-07;39514,05609;44;115;1
10003;2020-08;62724,71221;60;210;1
10003;2020-09;40206,83601;55;132;1
10003;2020-10;122512,3602;167;417;1
10003;2020-11;110691,1063;180;356;1
10003;2020-12;88395,61205;171;293;1
10003;2021-01;166421,1425;242;562;1
10003;2021-02;198246,2097;245;644;1
10003;2021-03;184284,6511;225;515;1
10003;2021-04;96602,7201;110;280;1
10003;2021-05;213197,3483;273;611;1
10003;2021-06;329532,5813;358;939;1
10004;2019-01;17370,21194;95;206;1
10004;2019-02;13809,0785;90;181;1
10004;2019-03;14624,61765;84;166;1
10004;2019-04;27637,04745;150;312;1
10004;2019-05;25203,30801;152;314;1
10004;2019-06;29278,97251;162;348;1
10004;2019-07;31809,3579;184;404;1
10004;2019-08;21237,83778;111;248;1
10004;2019-09;32492,37955;192;407;1
10004;2019-10;37093,52345;205;430;1
10004;2019-11;32936,73159;192;396;1
10004;2019-12;42400,72315;231;470;1
10004;2020-01;10425,78338;69;142;1
10004;2020-02;16140,32203;97;188;1
10004;2020-03;14238,11506;68;157;1
10004;2020-04;9560,59689;49;110;1
10004;2020-05;7228,337744;41;86;1
10004;2020-06;3405,96772;23;46;1
10004;2020-07;5188,08833;28;56;1
10004;2020-08;4004,002677;21;39;1
10004;2020-09;4086,226898;12;23;1
10004;2020-10;2061,292964;14;27;1
10004;2020-11;2014,980903;8;11;1
10004;2020-12;2503,292838;13;30;1
10004;2021-01;877,4104344;4;6;1
10007;2019-01;166068,3959;2431;2431;1
10007;2019-02;78933,61748;1407;1407;1
10007;2019-03;94191,34031;1653;1653;1
10007;2019-04;94501,49148;1684;1684;1
10007;2019-05;74794,21513;1377;1377;1
10007;2019-06;75333,43186;1356;1356;1
10007;2019-07;104226,9792;1660;1660;1
10007;2019-08;74056,81152;1375;1375;1
10007;2019-09;84815,12532;1514;1514;1
10007;2019-10;106970,4274;1858;1858;1
10007;2019-11;108840,0322;1808;1808;1
10007;2019-12;137795,4868;2106;2108;1
10007;2020-01;223629,1383;2999;2999;1
10007;2020-02;107259,3175;1694;1694;1
10007;2020-03;47203,72229;799;799;1
10007;2020-07;8434,009491;165;165;1
10007;2020-12;88124,03841;1011;1011;1
10007;2021-01;195965,9062;2180;2180;1
10007;2021-02;104484,3808;1200;1200;1
10007;2021-03;35071,38206;568;568;1
10007;2021-04;48974,86149;705;705;1
10007;2021-05;72868,636;968;968;1
10007;2021-06;61743,654;816;816;1
10009;2019-01;154342,8551;1510;1883;1
10009;2019-02;706146,3233;6759;8420;1
10009;2019-03;834993,8658;7907;9874;1
10009;2019-04;836540,0038;7911;9928;1
10009;2019-05;856769,363;8209;10301;1
10009;2019-06;826423,1752;7746;9772;1
10009;2019-07;885286,7645;8297;10439;1
10009;2019-08;878405,2673;8200;10240;1
10009;2019-09;781578,8339;7188;9068;1
10009;2019-10;791409,2156;7437;9278;1
10009;2019-11;816161,5767;7653;9591;1
10009;2019-12;933238,0445;8434;10383;1
10009;2020-01;842467,597;7831;9785;1
10009;2020-02;813639,1446;7528;9548;1
10009;2020-03;916945,9215;8065;10194;1
10009;2020-04;898938,7531;8099;10183;1
10009;2020-05;1017997,785;9099;11366;1
10009;2020-06;993356,8751;9086;11159;1
10009;2020-07;1090940,586;9728;12025;1
10009;2020-08;1054110,907;9575;11747;1
10009;2020-09;1023210,819;8954;11012;1
10009;2020-10;1098539,791;9639;11935;1
10009;2020-11;1079535,241;9030;11287;1
10009;2020-12;1227373,582;10504;13069;1
10009;2021-01;1138317,594;9763;12142;1
10009;2021-02;1094753,456;9174;11590;1
10009;2021-03;1251618,429;10343;13301;1
10009;2021-04;1194174,94;9866;12725;1
10009;2021-05;1279838,02;10357;13521;1
10009;2021-06;1090707,146;8373;11071;1
10011;2019-01;3074,954233;59;59;1
10011;2019-02;10533,38276;183;183;1
10011;2019-03;9936,791167;163;163;1
10011;2019-04;8841,98389;164;164;1
10011;2019-05;12700,916;232;232;1
10011;2019-06;15998,66345;286;286;1
10011;2019-07;8643,976718;170;170;1
10011;2019-08;12089,14548;212;212;1
10011;2019-09;11918,08654;219;219;1
10011;2019-10;14190,32784;299;299;1
10011;2019-11;13000,95422;262;262;1
10011;2019-12;9549,920612;192;192;1
10011;2020-01;4099,608972;91;91;1
10011;2020-02;2375,812814;47;47;1
10011;2020-03;779,0317553;15;15;1
10012;2019-02;9255,187085;59;89;1
10012;2019-03;14301,53746;82;124;1
10012;2019-04;16224,88731;83;137;1
10012;2019-05;16263,4003;106;160;1
10012;2019-06;16219,13911;91;145;1
10012;2019-07;17830,36136;98;154;1
10012;2019-08;19824,98897;126;192;1
10012;2019-09;13667,5103;106;139;1
10012;2019-10;13836,50757;91;138;1
10012;2019-11;15046,50501;105;158;1
10012;2019-12;15742,04373;104;147;1
10012;2020-01;1602,599937;10;14;1
10012;2020-02;1754,927406;17;21;1
10012;2020-03;964,5490298;11;13;1
10012;2020-08;8179,122851;35;60;1
10012;2020-09;5467,693904;30;40;1
10012;2020-10;15725,36818;87;114;1
10012;2020-11;7179,509763;32;53;1
10012;2020-12;1766,99864;7;10;1
10012;2021-01;1222,643496;3;9;1
10012;2021-02;12002,82973;48;74;1
10012;2021-03;2150,978826;7;12;1
10013;2019-01;20517,49199;1480;1480;1
10013;2019-02;19501,91332;1389;1389;1
10013;2019-03;25583,31565;1354;1354;1
10013;2019-04;29762,5303;1922;1922;1
10013;2019-05;48280,30485;2544;2550;1
10013;2019-06;33302,14279;2236;2238;1
10013;2019-07;36574,18591;2394;2394;1
10013;2019-08;29875,1013;2115;2115;1
10013;2019-09;33425,37108;2029;2029;1
10013;2019-10;36770,89626;2473;2473;1
10013;2019-11;33185,70141;2319;2319;1
10013;2019-12;30372,69193;2021;2021;1
10013;2020-01;224875,8731;4874;4876;1
10013;2020-02;59969,93343;2485;2491;1
10013;2020-03;49266,02111;1466;1466;1
10013;2020-04;7440,306986;11;11;1
10013;2020-05;45490,64601;9;18;1
10013;2020-06;3553,03957;229;229;1
10013;2020-07;3509,199794;204;204;1
10013;2020-08;3076,121506;205;205;1
10013;2020-09;3778,658499;255;255;1
10013;2020-10;6129,31426;420;420;1
10013;2020-11;6920,814815;391;391;1
10013;2020-12;5963,310088;449;449;1
10013;2021-01;4089,57239;319;319;1
10013;2021-02;5453,392964;393;393;1
10017;2019-02;32076,4226;137;174;1
10017;2019-03;91328,47388;393;471;1
10017;2019-04;103015,5676;386;505;1
10017;2019-05;79245,42759;395;464;1
10017;2019-06;107010,3465;371;464;1
10017;2019-07;57038,2239;239;366;1
10017;2019-08;65578,01455;191;291;1
10017;2019-09;73663,86993;124;250;1
10017;2019-10;61026,78697;202;332;1
10017;2019-11;81706,86447;206;362;1
10017;2019-12;61790,02537;191;315;1
10017;2020-01;64459,17961;213;314;1
10017;2020-02;79568,64658;173;230;1
10017;2020-03;49862,00174;180;249;1
10017;2020-04;47565,14307;206;334;1
10017;2020-05;52538,1139;176;284;1
10024;2019-01;5401,820967;59;91;1
10024;2019-02;7944,128174;80;127;1
10024;2019-03;8174,209175;75;122;1
10024;2019-04;8941,007856;83;143;1
10024;2019-05;12517,10191;96;195;1
10024;2019-06;14506,92862;123;226;1
10024;2019-07;13414,64871;130;282;1
10024;2019-08;11359,44794;105;182;1
10024;2019-09;10121,57701;96;168;1
10024;2019-10;15649,92367;128;249;1
10024;2019-11;17493,32224;142;255;1
10024;2019-12;25169,15596;220;392;1
10024;2020-01;9129,204934;92;140;1
10024;2020-02;10692,16612;94;147;1
10024;2020-03;7259,147109;68;95;1
10024;2020-04;338,8660505;3;3;1
10024;2020-05;3373,155266;20;28;1
10024;2020-06;9143,905244;57;95;1
10024;2020-07;8350,824469;64;89;1
10024;2020-08;8699,837229;69;107;1
10024;2020-09;10089,50403;97;160;1
10024;2020-10;14750,38064;140;227;1
10024;2020-11;12221,96882;114;190;1
10024;2020-12;25373,15266;203;330;1
10024;2021-01;7300,253701;76;103;1
10024;2021-02;9407,705884;87;131;1
10024;2021-03;9289,487063;88;115;1
10024;2021-04;9013,902257;73;96;1
10024;2021-05;19128,81905;127;223;1
10024;2021-06;13031,79212;101;191;1
10033;2019-02;8407,48897;39;39;1
10033;2019-03;23308,04131;107;107;1
10033;2019-04;15252,06188;75;75;1
10033;2019-05;17853,50333;92;92;1
10033;2019-06;17828,56235;70;70;1
10036;2019-01;6911,237187;45;57;1
10036;2019-02;3409,91324;25;32;1
10036;2019-03;5785,308676;37;49;1
10036;2019-04;5754,554827;32;40;1
10036;2019-05;4123,67551;31;39;1
10036;2019-06;5176,749333;27;36;1
10036;2019-07;6609,799106;36;45;1
10036;2019-08;3164,369708;19;28;1
10036;2019-09;1986,332952;12;17;1
10036;2019-10;3871,238849;15;24;1
10036;2019-11;5220,899038;26;35;1
10036;2019-12;4605,258815;30;38;1
10036;2020-01;4478,001151;31;38;1
10036;2020-02;3962,18018;33;39;1
10036;2020-03;5092,914213;28;42;1
10036;2020-04;4588,259934;43;51;1
10036;2020-05;7295,269147;49;60;1
10036;2020-06;8274,209789;52;67;1
10036;2020-07;9825,698907;57;71;1
10036;2020-08;7946,380826;55;64;1
10036;2020-09;8877,889106;51;62;1
10036;2020-10;6726,359455;44;55;1
10036;2020-11;4178,363092;34;41;1
10036;2020-12;4833,088225;34;42;1
10036;2021-01;4291,333828;30;38;1
10036;2021-02;2947,674208;23;26;1
10036;2021-03;4034,137838;22;28;1
10036;2021-04;3754,398364;26;31;1
10036;2021-05;3668,918192;24;29;1
10036;2021-06;4432,713021;21;29;1
10041;2019-01;65603,83558;379;511;1
10041;2019-02;92780,41468;516;717;1
10041;2019-03;105247,6795;524;766;1
10041;2019-04;79627,67079;410;619;1
10041;2019-05;103125,0836;538;766;1
10041;2019-06;84764,16921;441;614;1
10041;2019-07;87189,99315;470;640;1
10041;2019-08;94708,20962;487;682;1
10041;2019-09;113434,8353;540;770;1
10041;2019-10;87296,58238;463;665;1
10041;2019-11;101305,7156;483;704;1
10041;2019-12;159692,6147;691;1033;1
10041;2020-01;62181,95363;336;443;1
10041;2020-02;86421,81557;425;662;1
10041;2020-03;46583,17061;215;311;1
10041;2020-04;31647,44613;101;175;1
10041;2020-05;46206,23065;202;300;1
10041;2020-06;73913,18307;344;459;1
10041;2020-07;82773,70716;397;518;1
10041;2020-08;82106,56882;382;531;1
10041;2020-09;117627,045;474;697;1
10041;2020-10;83900,66778;406;577;1
10041;2020-11;83253,30358;364;496;1
10041;2020-12;132693,2862;538;763;1
10041;2021-01;61485,42975;257;366;1
10041;2021-02;77035,51252;338;502;1
10041;2021-03;76875,62867;362;509;1
10041;2021-04;104466,6377;357;557;1
10041;2021-05;88875,20569;388;570;1
10041;2021-06;92488,17641;384;592;1
10042;2019-01;25281,15495;75;150;1
10042;2019-02;19322,91623;69;126;1
10042;2019-03;20080,70279;71;129;1
10042;2019-04;24616,96156;73;137;1
10042;2019-05;28588,9594;104;197;1
10042;2019-06;13956,25947;56;98;1
10042;2019-07;23391,04377;77;152;1
10042;2019-08;34469,40879;99;186;1
10042;2019-09;21118,77288;73;151;1
10042;2019-10;38463,68688;88;196;1
10042;2019-11;22555,48804;79;168;1
10042;2019-12;19481,97503;91;156;1
10042;2020-01;29253,17698;79;164;1
10042;2020-02;30136,9145;90;180;1
10042;2020-03;20119,31517;52;115;1
10042;2020-04;14058,29696;45;115;1
10042;2020-05;21692,34513;88;176;1
10042;2020-06;26102,31017;109;192;1
10042;2020-07;39393,75926;133;251;1
10042;2020-08;49703,76417;155;314;1
10042;2020-09;23587,46483;108;177;1
10042;2020-10;29230,42895;107;178;1
10042;2020-11;24030,74703;93;161;1
10042;2020-12;17051,59301;92;144;1
10042;2021-01;16127,54941;63;108;1
10042;2021-02;16895,81676;70;124;1
10042;2021-03;14750,74291;65;111;1
10042;2021-04;30789,43344;103;216;1
10042;2021-05;23619,94359;101;178;1
10042;2021-06;15408,70993;73;136;1
10043;2019-01;25476,38506;89;289;1
10043;2019-02;49031,15314;188;551;1
10043;2019-03;42162,151;156;427;1
10043;2019-04;38214,80657;153;418;1
10043;2019-05;40501,42086;151;411;1
10043;2019-06;36080,92328;118;383;1
10043;2019-07;27005,49635;108;302;1
10043;2019-08;28562,00915;124;328;1
10043;2019-09;47782,43795;172;560;1
10043;2019-10;50414,3571;195;528;1
10043;2019-11;34302,2674;134;324;1
10043;2019-12;38024,4462;185;411;1
10043;2020-01;34339,51514;96;289;1
10043;2020-02;26291,71365;108;253;1
10043;2020-03;28889,13284;76;220;1
10043;2020-04;39734,78911;72;293;1
10043;2020-05;29026,6747;127;310;1
10043;2020-06;27272,06193;119;278;1
10043;2020-07;15833,03696;82;165;1
10043;2020-08;11806,3121;90;121;1
10043;2020-09;9886,221675;72;79;1
